"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","1994","1994",157,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","1995","1995",196,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","1996","1996",215,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","1997","1997",213,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","1998","1998",204,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","1999","1999",199,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2000","2000",202,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2001","2001",168,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2002","2002",212,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2003","2003",195,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2005","2005",200,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2006","2006",213,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2007","2007",211,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2008","2008",224,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2009","2009",216,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2010","2010",258,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2011","2011",189,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2012","2012",221,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2013","2013",261,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2014","2014",225,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2015","2015",227,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2016","2016",233,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2017","2017",240,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2018","2018",213,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2019","2019",283,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2020","2020",208,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2021","2021",205,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2022","2022",234,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","1","maschi","Y11-14","11-14 anni","2023","2023",269,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","1994","1994",0,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","1995","1995",0,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","1996","1996",610,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","1997","1997",570,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","1998","1998",539,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","1999","1999",545,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2000","2000",531,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2001","2001",521,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2002","2002",524,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2003","2003",549,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2005","2005",593,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2006","2006",595,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2007","2007",563,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2008","2008",572,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2009","2009",555,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2010","2010",601,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2011","2011",616,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2012","2012",578,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2013","2013",615,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2014","2014",556,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2015","2015",568,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2016","2016",513,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2017","2017",487,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2018","2018",415,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2019","2019",443,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2020","2020",390,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2021","2021",407,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2022","2022",374,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y3-5","3-5 anni","2023","2023",354,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","1994","1994",0,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","1995","1995",0,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","1996","1996",0,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","1997","1997",5,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","1998","1998",5.2,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","1999","1999",5.1,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2000","2000",5.2,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2001","2001",4.7,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2002","2002",4.9,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2003","2003",5.7,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2005","2005",5.1,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2006","2006",5,,
