"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","CONDIZIONE_DICH","Condizione e posizione nella professione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","1993","1993",90.3,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","1994","1994",90.7,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","1995","1995",89.4,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","1996","1996",89,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","1997","1997",86.6,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","1998","1998",85,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","1999","1999",84.1,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2000","2000",82.7,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2001","2001",83.4,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2002","2002",83.4,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2003","2003",83.3,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2005","2005",83,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2006","2006",82.8,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2007","2007",81.4,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2008","2008",81.7,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2009","2009",80.9,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2010","2010",81.4,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2011","2011",81.2,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2012","2012",82.1,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2013","2013",82,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2014","2014",81.2,,
"15_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","99","totale","2015","2015",81.2,,
