"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","1993","1993",0,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","1994","1994",0,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","1995","1995",0,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","1996","1996",45.9,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","1997","1997",45.4,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","1998","1998",45.2,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","1999","1999",44,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2000","2000",42.1,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2001","2001",42.3,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2002","2002",43.2,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2003","2003",43.9,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2005","2005",46.6,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2006","2006",45.9,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2007","2007",47,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2008","2008",47.3,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2009","2009",46.3,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2010","2010",46.3,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2011","2011",46.8,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2012","2012",46.6,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2013","2013",45.8,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2014","2014",45.1,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2015","2015",45.8,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2016","2016",44.7,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2017","2017",42.2,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2018","2018",41.3,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2019","2019",40.1,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2020","2020",40.4,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2021","2021",39.8,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2022","2022",40.2,,
"IT","Italia","3_MILK_BREAK","colazione con latte e del cibo","HSC","per 100 persone con le stesse caratteristiche","2023","2023",39.2,,
"IT","Italia","3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","1993","1993",17.3,,
"IT","Italia","3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","1994","1994",17.5,,
"IT","Italia","3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","1995","1995",18.5,,
