Tipo_dato,Sesso,Classe_di_età,TIME,Value
pasto principale la cena,maschi,11-14 anni,1994,157
pasto principale la cena,maschi,11-14 anni,1995,196
pasto principale la cena,maschi,11-14 anni,1996,215
pasto principale la cena,maschi,11-14 anni,1997,213
pasto principale la cena,maschi,11-14 anni,1998,204
pasto principale la cena,maschi,11-14 anni,1999,199
pasto principale la cena,maschi,11-14 anni,2000,202
pasto principale la cena,maschi,11-14 anni,2001,168
pasto principale la cena,maschi,11-14 anni,2002,212
pasto principale la cena,maschi,11-14 anni,2003,195
pasto principale la cena,maschi,11-14 anni,2005,200
pasto principale la cena,maschi,11-14 anni,2006,213
pasto principale la cena,maschi,11-14 anni,2007,211
pasto principale la cena,maschi,11-14 anni,2008,224
pasto principale la cena,maschi,11-14 anni,2009,216
pasto principale la cena,maschi,11-14 anni,2010,258
pasto principale la cena,maschi,11-14 anni,2011,189
pasto principale la cena,maschi,11-14 anni,2012,221
pasto principale la cena,maschi,11-14 anni,2013,261
pasto principale la cena,maschi,11-14 anni,2014,225
pasto principale la cena,maschi,11-14 anni,2015,227
pasto principale la cena,maschi,11-14 anni,2016,233
pasto principale la cena,maschi,11-14 anni,2017,240
pasto principale la cena,maschi,11-14 anni,2018,213
pasto principale la cena,maschi,11-14 anni,2019,283
pasto principale la cena,maschi,11-14 anni,2020,208
pasto principale la cena,maschi,11-14 anni,2021,205
pasto principale la cena,maschi,11-14 anni,2022,234
pasto principale la cena,maschi,11-14 anni,2023,269
colazione con latte e del cibo,maschi,3-5 anni,1994,0
colazione con latte e del cibo,maschi,3-5 anni,1995,0
colazione con latte e del cibo,maschi,3-5 anni,1996,610
colazione con latte e del cibo,maschi,3-5 anni,1997,570
colazione con latte e del cibo,maschi,3-5 anni,1998,539
colazione con latte e del cibo,maschi,3-5 anni,1999,545
colazione con latte e del cibo,maschi,3-5 anni,2000,531
colazione con latte e del cibo,maschi,3-5 anni,2001,521
colazione con latte e del cibo,maschi,3-5 anni,2002,524
colazione con latte e del cibo,maschi,3-5 anni,2003,549
colazione con latte e del cibo,maschi,3-5 anni,2005,593
colazione con latte e del cibo,maschi,3-5 anni,2006,595
colazione con latte e del cibo,maschi,3-5 anni,2007,563
colazione con latte e del cibo,maschi,3-5 anni,2008,572
