Tipo_dato,Sesso,TIME,Classe_di_età,Titolo_di_studio,Value
colazione adeguata (con latte e/o del cibo),femmine,1993,6 anni e più,diploma,4764
colazione adeguata (con latte e/o del cibo),femmine,1994,6 anni e più,diploma,5039
colazione adeguata (con latte e/o del cibo),femmine,1995,6 anni e più,diploma,5308
colazione adeguata (con latte e/o del cibo),femmine,1996,6 anni e più,diploma,5969
colazione adeguata (con latte e/o del cibo),femmine,1997,6 anni e più,diploma,6093
colazione adeguata (con latte e/o del cibo),femmine,1998,6 anni e più,diploma,6057
colazione adeguata (con latte e/o del cibo),femmine,1999,6 anni e più,diploma,6077
colazione adeguata (con latte e/o del cibo),femmine,2000,6 anni e più,diploma,6090
colazione adeguata (con latte e/o del cibo),femmine,2001,6 anni e più,diploma,6177
colazione adeguata (con latte e/o del cibo),femmine,2002,6 anni e più,diploma,6284
colazione adeguata (con latte e/o del cibo),femmine,2003,6 anni e più,diploma,6463
colazione adeguata (con latte e/o del cibo),femmine,2005,6 anni e più,diploma,6740
colazione adeguata (con latte e/o del cibo),femmine,2006,6 anni e più,diploma,6615
colazione adeguata (con latte e/o del cibo),femmine,2007,6 anni e più,diploma,6782
colazione adeguata (con latte e/o del cibo),femmine,2008,6 anni e più,diploma,6996
colazione adeguata (con latte e/o del cibo),femmine,2009,6 anni e più,diploma,7067
colazione adeguata (con latte e/o del cibo),femmine,2010,6 anni e più,diploma,7416
colazione adeguata (con latte e/o del cibo),femmine,2011,6 anni e più,diploma,7396
colazione adeguata (con latte e/o del cibo),femmine,2012,6 anni e più,diploma,7303
colazione adeguata (con latte e/o del cibo),femmine,2013,6 anni e più,diploma,7497
colazione adeguata (con latte e/o del cibo),femmine,2014,6 anni e più,diploma,7633
colazione adeguata (con latte e/o del cibo),femmine,2015,6 anni e più,diploma,7803
colazione adeguata (con latte e/o del cibo),femmine,2016,6 anni e più,diploma,7974
colazione adeguata (con latte e/o del cibo),femmine,2017,6 anni e più,diploma,7650
colazione adeguata (con latte e/o del cibo),femmine,2018,6 anni e più,diploma,8026
colazione adeguata (con latte e/o del cibo),femmine,2019,6 anni e più,diploma,7962
colazione adeguata (con latte e/o del cibo),femmine,2020,6 anni e più,diploma,7918
colazione adeguata (con latte e/o del cibo),femmine,2021,6 anni e più,diploma,8376
colazione adeguata (con latte e/o del cibo),femmine,2022,6 anni e più,diploma,7944
colazione adeguata (con latte e/o del cibo),femmine,2023,6 anni e più,diploma,8148
pranzo in casa,maschi,1993,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",2701
pranzo in casa,maschi,1994,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",2755
pranzo in casa,maschi,1995,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",2528
pranzo in casa,maschi,1996,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",2422
pranzo in casa,maschi,1997,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",2262
pranzo in casa,maschi,1998,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",2153
pranzo in casa,maschi,1999,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",2033
pranzo in casa,maschi,2000,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1859
pranzo in casa,maschi,2001,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1719
pranzo in casa,maschi,2002,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1700
pranzo in casa,maschi,2003,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1587
pranzo in casa,maschi,2005,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1363
pranzo in casa,maschi,2006,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1269
pranzo in casa,maschi,2007,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1217
pranzo in casa,maschi,2008,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",1073
pranzo in casa,maschi,2009,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",954
pranzo in casa,maschi,2010,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",877
pranzo in casa,maschi,2011,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",786
pranzo in casa,maschi,2012,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",871
pranzo in casa,maschi,2013,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",731
pranzo in casa,maschi,2014,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",675
pranzo in casa,maschi,2015,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",559
pranzo in casa,maschi,2016,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",517
pranzo in casa,maschi,2017,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",515
pranzo in casa,maschi,2018,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",408
pranzo in casa,maschi,2019,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",450
pranzo in casa,maschi,2020,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",402
pranzo in casa,maschi,2021,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",316
pranzo in casa,maschi,2022,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",332
pranzo in casa,maschi,2023,45-64 anni,"licenza di scuola elementare, nessun titolo di studio",298
pasto principale il pranzo,maschi,1993,6-24 anni,diploma,1214
pasto principale il pranzo,maschi,1994,6-24 anni,diploma,1294
pasto principale il pranzo,maschi,1995,6-24 anni,diploma,1178
pasto principale il pranzo,maschi,1996,6-24 anni,diploma,1130
pasto principale il pranzo,maschi,1997,6-24 anni,diploma,1054
pasto principale il pranzo,maschi,1998,6-24 anni,diploma,1018
pasto principale il pranzo,maschi,1999,6-24 anni,diploma,943
pasto principale il pranzo,maschi,2000,6-24 anni,diploma,867
pasto principale il pranzo,maschi,2001,6-24 anni,diploma,911
pasto principale il pranzo,maschi,2002,6-24 anni,diploma,865
pasto principale il pranzo,maschi,2003,6-24 anni,diploma,829
pasto principale il pranzo,maschi,2005,6-24 anni,diploma,793
pasto principale il pranzo,maschi,2006,6-24 anni,diploma,815
pasto principale il pranzo,maschi,2007,6-24 anni,diploma,813
pasto principale il pranzo,maschi,2008,6-24 anni,diploma,699
pasto principale il pranzo,maschi,2009,6-24 anni,diploma,774
pasto principale il pranzo,maschi,2010,6-24 anni,diploma,784
pasto principale il pranzo,maschi,2011,6-24 anni,diploma,807
pasto principale il pranzo,maschi,2012,6-24 anni,diploma,786
pasto principale il pranzo,maschi,2013,6-24 anni,diploma,797
pasto principale il pranzo,maschi,2014,6-24 anni,diploma,791
pasto principale il pranzo,maschi,2015,6-24 anni,diploma,853
pasto principale il pranzo,maschi,2016,6-24 anni,diploma,826
pasto principale il pranzo,maschi,2017,6-24 anni,diploma,827
pasto principale il pranzo,maschi,2018,6-24 anni,diploma,824
pasto principale il pranzo,maschi,2019,6-24 anni,diploma,871
pasto principale il pranzo,maschi,2020,6-24 anni,diploma,915
pasto principale il pranzo,maschi,2021,6-24 anni,diploma,888
pasto principale il pranzo,maschi,2022,6-24 anni,diploma,925
pasto principale il pranzo,maschi,2023,6-24 anni,diploma,819
pasto principale il pranzo,maschi,1993,65 anni e più,licenza di scuola media,442
pasto principale il pranzo,maschi,1994,65 anni e più,licenza di scuola media,411
pasto principale il pranzo,maschi,1995,65 anni e più,licenza di scuola media,451
pasto principale il pranzo,maschi,1996,65 anni e più,licenza di scuola media,499
pasto principale il pranzo,maschi,1997,65 anni e più,licenza di scuola media,501
pasto principale il pranzo,maschi,1998,65 anni e più,licenza di scuola media,487
pasto principale il pranzo,maschi,1999,65 anni e più,licenza di scuola media,517
pasto principale il pranzo,maschi,2000,65 anni e più,licenza di scuola media,489
pasto principale il pranzo,maschi,2001,65 anni e più,licenza di scuola media,592
pasto principale il pranzo,maschi,2002,65 anni e più,licenza di scuola media,620
pasto principale il pranzo,maschi,2003,65 anni e più,licenza di scuola media,669
pasto principale il pranzo,maschi,2005,65 anni e più,licenza di scuola media,772
pasto principale il pranzo,maschi,2006,65 anni e più,licenza di scuola media,809
pasto principale il pranzo,maschi,2007,65 anni e più,licenza di scuola media,779
pasto principale il pranzo,maschi,2008,65 anni e più,licenza di scuola media,826
pasto principale il pranzo,maschi,2009,65 anni e più,licenza di scuola media,882
pasto principale il pranzo,maschi,2010,65 anni e più,licenza di scuola media,919
pasto principale il pranzo,maschi,2011,65 anni e più,licenza di scuola media,958
pasto principale il pranzo,maschi,2012,65 anni e più,licenza di scuola media,965
pasto principale il pranzo,maschi,2013,65 anni e più,licenza di scuola media,1128
pasto principale il pranzo,maschi,2014,65 anni e più,licenza di scuola media,1146
pasto principale il pranzo,maschi,2015,65 anni e più,licenza di scuola media,1184
pasto principale il pranzo,maschi,2016,65 anni e più,licenza di scuola media,1175
pasto principale il pranzo,maschi,2017,65 anni e più,licenza di scuola media,1273
pasto principale il pranzo,maschi,2018,65 anni e più,licenza di scuola media,1363
pasto principale il pranzo,maschi,2019,65 anni e più,licenza di scuola media,1438
pasto principale il pranzo,maschi,2020,65 anni e più,licenza di scuola media,1571
pasto principale il pranzo,maschi,2021,65 anni e più,licenza di scuola media,1369
pasto principale il pranzo,maschi,2022,65 anni e più,licenza di scuola media,1410
pasto principale il pranzo,maschi,2023,65 anni e più,licenza di scuola media,1472
pranzo in casa,maschi,1993,6 anni e più,totale,20786
pranzo in casa,maschi,1994,6 anni e più,totale,20802
pranzo in casa,maschi,1995,6 anni e più,totale,20264
pranzo in casa,maschi,1996,6 anni e più,totale,20000
pranzo in casa,maschi,1997,6 anni e più,totale,19438
pranzo in casa,maschi,1998,6 anni e più,totale,18980
pranzo in casa,maschi,1999,6 anni e più,totale,18791
pranzo in casa,maschi,2000,6 anni e più,totale,18250
pranzo in casa,maschi,2001,6 anni e più,totale,18403
pranzo in casa,maschi,2002,6 anni e più,totale,18343
pranzo in casa,maschi,2003,6 anni e più,totale,18441
pranzo in casa,maschi,2005,6 anni e più,totale,18469
pranzo in casa,maschi,2006,6 anni e più,totale,18623
pranzo in casa,maschi,2007,6 anni e più,totale,18474
pranzo in casa,maschi,2008,6 anni e più,totale,18404
pranzo in casa,maschi,2009,6 anni e più,totale,18534
pranzo in casa,maschi,2010,6 anni e più,totale,18667
pranzo in casa,maschi,2011,6 anni e più,totale,18534
pranzo in casa,maschi,2012,6 anni e più,totale,18958
pranzo in casa,maschi,2013,6 anni e più,totale,19073
pranzo in casa,maschi,2014,6 anni e più,totale,19223
pranzo in casa,maschi,2015,6 anni e più,totale,18988
pranzo in casa,maschi,2016,6 anni e più,totale,18764
pranzo in casa,maschi,2017,6 anni e più,totale,18746
pranzo in casa,maschi,2018,6 anni e più,totale,18663
pranzo in casa,maschi,2019,6 anni e più,totale,18714
pranzo in casa,maschi,2020,6 anni e più,totale,19395
pranzo in casa,maschi,2021,6 anni e più,totale,19442
pranzo in casa,maschi,2022,6 anni e più,totale,18772
pranzo in casa,maschi,2023,6 anni e più,totale,18572
colazione con latte e del cibo,femmine,1993,6-24 anni,totale,0
colazione con latte e del cibo,femmine,1994,6-24 anni,totale,0
colazione con latte e del cibo,femmine,1995,6-24 anni,totale,0
colazione con latte e del cibo,femmine,1996,6-24 anni,totale,3446
colazione con latte e del cibo,femmine,1997,6-24 anni,totale,3212
colazione con latte e del cibo,femmine,1998,6-24 anni,totale,3160
colazione con latte e del cibo,femmine,1999,6-24 anni,totale,2968
colazione con latte e del cibo,femmine,2000,6-24 anni,totale,2778
colazione con latte e del cibo,femmine,2001,6-24 anni,totale,2753
colazione con latte e del cibo,femmine,2002,6-24 anni,totale,2809
colazione con latte e del cibo,femmine,2003,6-24 anni,totale,2765
colazione con latte e del cibo,femmine,2005,6-24 anni,totale,2845
colazione con latte e del cibo,femmine,2006,6-24 anni,totale,2713
colazione con latte e del cibo,femmine,2007,6-24 anni,totale,2813
colazione con latte e del cibo,femmine,2008,6-24 anni,totale,2812
colazione con latte e del cibo,femmine,2009,6-24 anni,totale,2734
colazione con latte e del cibo,femmine,2010,6-24 anni,totale,2753
colazione con latte e del cibo,femmine,2011,6-24 anni,totale,2809
colazione con latte e del cibo,femmine,2012,6-24 anni,totale,2751
colazione con latte e del cibo,femmine,2013,6-24 anni,totale,2715
colazione con latte e del cibo,femmine,2014,6-24 anni,totale,2639
colazione con latte e del cibo,femmine,2015,6-24 anni,totale,2659
colazione con latte e del cibo,femmine,2016,6-24 anni,totale,2489
colazione con latte e del cibo,femmine,2017,6-24 anni,totale,2360
colazione con latte e del cibo,femmine,2018,6-24 anni,totale,2427
colazione con latte e del cibo,femmine,2019,6-24 anni,totale,2240
colazione con latte e del cibo,femmine,2020,6-24 anni,totale,2360
colazione con latte e del cibo,femmine,2021,6-24 anni,totale,2195
colazione con latte e del cibo,femmine,2022,6-24 anni,totale,2192
colazione con latte e del cibo,femmine,2023,6-24 anni,totale,2095
colazione con latte e del cibo,femmine,1993,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",0
colazione con latte e del cibo,femmine,1994,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",0
colazione con latte e del cibo,femmine,1995,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",0
colazione con latte e del cibo,femmine,1996,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2086
colazione con latte e del cibo,femmine,1997,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2145
colazione con latte e del cibo,femmine,1998,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2220
colazione con latte e del cibo,femmine,1999,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2234
colazione con latte e del cibo,femmine,2000,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2137
colazione con latte e del cibo,femmine,2001,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2145
colazione con latte e del cibo,femmine,2002,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2218
colazione con latte e del cibo,femmine,2003,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2375
colazione con latte e del cibo,femmine,2005,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2456
colazione con latte e del cibo,femmine,2006,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2576
colazione con latte e del cibo,femmine,2007,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2566
colazione con latte e del cibo,femmine,2008,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2611
colazione con latte e del cibo,femmine,2009,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2525
colazione con latte e del cibo,femmine,2010,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2529
colazione con latte e del cibo,femmine,2011,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2532
colazione con latte e del cibo,femmine,2012,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2499
colazione con latte e del cibo,femmine,2013,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2449
colazione con latte e del cibo,femmine,2014,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2511
colazione con latte e del cibo,femmine,2015,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2478
colazione con latte e del cibo,femmine,2016,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2338
colazione con latte e del cibo,femmine,2017,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2481
colazione con latte e del cibo,femmine,2018,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2203
colazione con latte e del cibo,femmine,2019,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",2068
colazione con latte e del cibo,femmine,2020,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",1997
colazione con latte e del cibo,femmine,2021,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",1982
colazione con latte e del cibo,femmine,2022,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",1822
colazione con latte e del cibo,femmine,2023,65 anni e più,"licenza di scuola elementare, nessun titolo di studio",1793
pasto principale il pranzo,maschi,1993,6 anni e più,licenza di scuola media,6315
pasto principale il pranzo,maschi,1994,6 anni e più,licenza di scuola media,6110
pasto principale il pranzo,maschi,1995,6 anni e più,licenza di scuola media,6136
pasto principale il pranzo,maschi,1996,6 anni e più,licenza di scuola media,5890
pasto principale il pranzo,maschi,1997,6 anni e più,licenza di scuola media,5979
pasto principale il pranzo,maschi,1998,6 anni e più,licenza di scuola media,5791
pasto principale il pranzo,maschi,1999,6 anni e più,licenza di scuola media,5695
pasto principale il pranzo,maschi,2000,6 anni e più,licenza di scuola media,5450
