Tipo_dato,Territorio,TIME,Value
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,1993,0
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,1994,0
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,1995,0
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,1996,0
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,1997,6
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,1998,5
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,1999,5
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2000,5
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2001,6
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2002,8
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2003,6
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2005,6
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2006,8
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2007,6
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2008,8
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2009,7
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2010,9
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2011,8
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2012,9
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2013,8
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2014,9
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2015,11
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2016,10
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2017,10
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2018,11
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2019,11
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2020,13
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2021,10
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2022,10
pranzo sul posto di lavoro,Valle d'Aosta / Vallée d'Aoste,2023,11
pasto principale la cena,Provincia Autonoma Bolzano / Bozen,1993,39
pasto principale la cena,Provincia Autonoma Bolzano / Bozen,1994,51
pasto principale la cena,Provincia Autonoma Bolzano / Bozen,1995,52
pasto principale la cena,Provincia Autonoma Bolzano / Bozen,1996,54
pasto principale la cena,Provincia Autonoma Bolzano / Bozen,1997,43
